title|url|value|available|upc|product_type
It's Only the Himalayas|https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html|£45.17|Instock|a22124811bfa8350|Books
Full Moon over Noah’s |https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html|£49.43|Instock|ce60436f52c5ee68|Books
See America: A Celebration |https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html|£48.87|Instock|f9705c362f070608|Books
Vagabonding: An Uncommon Guide |https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html|£36.94|Instock|1809259a5a5f1d8d|Books
Under the Tuscan Sun|https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html|£37.33|Instock|a94350ee74deaa07|Books
A Summer In Europe|https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html|£44.34|Instock|cc1936a9f4e93477|Books
The Great Railway Bazaar|https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html|£30.54|Instock|48736df57e7bec9f|Books
A Year in Provence |https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html|£56.88|Instock|9e60929f521fa280|Books
The Road to Little |https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html|£23.21|Instock|366a236aa1ea6f07|Books
Neither Here nor There: |https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html|£38.95|Instock|747cf7fca2ccdbd4|Books
1,000 Places to See |https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html|£26.08|Instock|228ba5e7577e1d49|Books
